slug,left,top,right,bottom,face_top_frac,face_centre_frac,face_bottom_frac,clamped
jarell-quansah,1947,596,2895,1780,0.1503,0.2753,0.4003,False
jarrad-branthwaite,2158,440,3886,2600,0.15,0.275,0.4,False
jayden-oosterwolde,1072,0,2800,2160,0.1343,0.3299,0.5255,True
jerdy-schouten,1614,34,3656,2586,0.1661,0.2911,0.4161,True
jhon-duran,1347,0,3368,2526,0.2696,0.3951,0.5206,True
joan-garcia,1139,0,2867,2160,0.2042,0.3542,0.5042,True
joao-neves,1738,362,2590,1426,0.1504,0.2754,0.4004,False
joey-veerman,1034,82,2500,1914,0.1501,0.2751,0.4001,False
johan-bakayoko,1601,44,3771,2756,0.1501,0.2751,0.4001,False
jon-aramburu,1476,620,2548,1960,0.15,0.275,0.4,False
jorrel-hato,1282,0,2873,1989,0.1006,0.3004,0.5003,True
julien-duranville,1535,0,3748,2767,0.2389,0.3666,0.4944,True
karim-konate,98,0,873,968,0.4442,0.6627,0.8812,True
kenan-yildiz,1541,0,3147,2008,0.12,0.245,0.37,True
kerem-akturkoglu,245,22,405,222,0.15,0.275,0.4,False
kiernan-dewsbury-hall,1410,90,3641,2878,0.1499,0.2749,0.3999,False
kobbie-mainoo,792,0,3112,2900,0.1397,0.2647,0.3897,True
lamine-yamal,1097,0,2824,2159,0.1172,0.2508,0.3844,True
leny-yoro,846,0,2804,2448,0.1953,0.3248,0.4542,True
lewis-hall,1117,0,2714,1996,0.1308,0.2558,0.3808,True
lewis-miley,1094,126,2182,1486,0.15,0.275,0.4,False
liam-delap,949,0,2418,1836,0.1062,0.2345,0.3627,True
lucas-beraldo,1500,71,2972,1911,0.15,0.275,0.4,False
lucas-bergvall,1185,50,2471,1658,0.1499,0.2749,0.3999,False
lucas-chevalier,1021,0,2473,1816,0.1366,0.2616,0.3866,True
luiz-henrique,322,18,460,190,0.1512,0.2762,0.4012,False
luka-sucic,1373,0,2487,1392,0.1092,0.2342,0.3592,True
magne-akliouche,2078,106,2936,1178,0.1502,0.2752,0.4002,False
malick-fofana,2013,191,4160,2875,0.1501,0.2751,0.4001,False
malik-tillman,1343,0,2818,1844,0.1047,0.2297,0.3547,True
malo-gusto,732,221,2220,2081,0.15,0.275,0.4,False
manu-kone,563,0,1849,1608,0.1219,0.2469,0.3719,True
marc-bernal,951,0,2571,2025,0.1269,0.2711,0.4153,True
marc-casado,1416,115,2210,1107,0.1502,0.2752,0.4002,False
marco-brescianini,1684,349,2340,1169,0.15,0.275,0.4,False
marco-carnesecchi,932,0,2320,1736,0.0991,0.2241,0.3491,True
mason-greenwood,108,0,320,264,0.0682,0.1932,0.3182,True
mateo-retegui,1020,0,2578,1947,0.1269,0.2809,0.435,True
mathys-tel,2411,598,3284,1690,0.1502,0.2752,0.4002,False
matias-soule,1218,0,2888,2088,0.1475,0.2725,0.3975,True
max-kilman,1502,0,3538,2544,0.1112,0.2362,0.3612,True
maximilian-beier,1017,0,2746,2160,0.1102,0.265,0.4199,True
morgan-gibbs-white,832,0,2825,2492,0.1172,0.2422,0.3672,True
morgan-rogers,782,0,1802,1276,0.1301,0.2551,0.3801,True
murillo,982,49,2934,2489,0.15,0.275,0.4,False
niccolo-pisilli,1255,303,2035,1279,0.1496,0.2746,0.3996,False
niclas-fullkrug,1180,165,2572,1905,0.15,0.275,0.4,False
nico-paz,2058,310,4260,3062,0.1501,0.2751,0.4001,False
nicolo-savona,999,349,3748,3785,0.2136,0.3386,0.4636,True
noni-madueke,1360,273,1981,1049,0.1495,0.2745,0.3995,False
omar-marmoush,1036,0,2656,2024,0.0632,0.1882,0.3132,True
orkun-kokcu,17,11,366,447,0.1697,0.2947,0.4197,True
oscar-bobb,750,0,2550,2251,0.1515,0.2874,0.4234,True
oscar-gloukh,900,0,3060,2700,0.0952,0.2202,0.3452,True
pablo-barrios,102,0,431,412,0.0947,0.2197,0.3447,True
patrick-dorgu,1237,27,2377,1451,0.1503,0.2753,0.4003,False
pau-cubarsi,1476,291,2686,1803,0.1501,0.2751,0.4001,False
paul-wanner,1817,101,2844,1385,0.1503,0.2753,0.4003,False
pedro,481,0,2427,2432,0.1135,0.2385,0.3635,True
piero-hincapie,1238,0,2150,1140,0.1439,0.2689,0.3939,True
quinten-timber,760,0,2488,2160,0.0611,0.2306,0.4,True
rafa-silva,168,0,356,236,0.1483,0.2733,0.3983,False
raoul-bellanova,2127,0,5019,3616,0.1222,0.2472,0.3722,True
raul-asencio,1420,234,1932,874,0.15,0.275,0.4,False
rayan-cherki,1495,0,4174,3348,0.1401,0.2651,0.3901,True
renato-veiga,1379,51,2348,1263,0.1502,0.2752,0.4002,False
riccardo-calafiori,1541,208,2929,1944,0.1498,0.2748,0.3998,False
rodrigo-mora,1618,251,2587,1463,0.1502,0.2752,0.4002,False
romeo-lavia,921,0,2679,2197,0.0487,0.1798,0.3109,True
samu-aghehowa,1174,261,1970,1257,0.1496,0.2746,0.3996,False
samuel-lino,1089,0,3756,3333,0.2643,0.4166,0.5689,True
samuel-mbangula,960,0,3448,3111,0.189,0.3259,0.4629,True
semih-kilicsoy,202,189,1718,2085,0.1498,0.2748,0.3998,False
senny-mayulu,1716,265,2798,1617,0.1501,0.2751,0.4001,False
sofyan-amrabat,838,0,2956,2648,0.0974,0.2277,0.358,True
thiago-almada,2421,173,3538,1569,0.1497,0.2747,0.3997,False
thierno-barry,1068,156,2518,1968,0.1501,0.2751,0.4001,False
tiago-santos,70,62,134,142,0.15,0.275,0.4,False
unai-gomez,1538,221,3538,2721,0.15,0.275,0.4,False
vangelis-pavlidis,653,0,1293,800,0.07,0.195,0.32,True
vasije-adzic,74,18,342,354,0.1488,0.2738,0.3988,False
viktor-tsygankov,1332,20,3037,2152,0.1501,0.2751,0.4001,False
waldemar-anton,1524,28,2372,1088,0.15,0.275,0.4,False
willian-pacho,1520,47,2471,1235,0.1498,0.2748,0.3998,False
yann-bisseck,1636,202,2513,1298,0.1496,0.2746,0.3996,False
yaser-asprilla,199,0,531,416,0.0793,0.2163,0.3534,True
yasin-ayari,1912,977,4149,3773,0.2171,0.3421,0.4671,True
yunus-akgun,1094,0,2454,1700,0.0924,0.2174,0.3424,True
