Name,Nation,Age,Club,Position,Current Ability,League,Derived Price (EURm),Opening Bid (EURm)
Rodrygo,Brazil,25,Real Madrid,"RW, LW, ST",163.0,First Division,79.59,55
Federico Valverde,Uruguay,27,Real Madrid,"AMF, RW",168.0,First Division,102.81,70
Ousmane Dembélé,France,29,PSG,"RW, LW",164.0,Ligue 1 Uber Eats,83.77,60
Ilkay Gündogan,Germany,35,Galatasaray,"CDM, AMF",163.0,Super League,79.59,55
John Stones,England,32,Inter,"CB, RB, CDM",162.0,Serie A,75.62,55
Éder Militão,Brazil,28,Real Madrid,CB,163.0,First Division,79.59,55
Antonio Rüdiger,Germany,33,Real Madrid,CB,164.0,First Division,83.77,60
Gabriel Jesus,Brazil,29,Arsenal,"RW, LW, ST",162.0,Premier Division,75.62,55
Bruno Guimarães,Brazil,28,Arsenal,CDM,163.0,Premier Division,79.59,55
Frenkie de Jong,Netherlands,29,Barcelona,CDM,164.0,First Division,83.77,60
Karim Benzema,France,38,Al-Hilal,ST,161.0,Saudi Pro League,71.85,50
Jack Grealish,England,30,Manchester City,"AMF, RW, LW",161.0,Premier Division,71.85,50
William Saliba,France,25,Arsenal,CB,165.0,Premier Division,88.17,60
Kyle Walker,England,36,Burnley,RB,160.0,Sky Bet Championship,68.26,50
Rafael Leão,Portugal,27,AC Milan,"LW, ST",159.0,Serie A,64.85,45
Marquinhos,Brazil,32,PSG,"CB, CDM",160.0,Ligue 1 Uber Eats,68.26,50
Manuel Neuer,Germany,40,Bayern Munich,GK,159.0,Bundesliga,64.85,45
Luis Díaz,Colombia,29,Bayern Munich,"RW, LW",159.0,Bundesliga,64.85,45
Kim Min-Jae,South Korea,29,Bayern Munich,CB,158.0,Bundesliga,61.62,45
Cristian Romero,Argentina,28,Tottenham,CB,160.0,Premier Division,68.26,50
Christopher Nkunku,France,28,AC Milan,"AMF, RW, LW, ST",157.0,Serie A,58.54,40
Trent Alexander-Arnold,England,27,Real Madrid,"RB, CDM",162.0,First Division,75.62,55
Pedri,Spain,23,Barcelona,"AMF, RW, LW",161.0,First Division,71.85,50
Khvicha Kvaratskhelia,Georgia,25,PSG,LW,159.0,Ligue 1 Uber Eats,64.85,45
Kingsley Coman,France,30,Al-Nassr,"RW, LW",160.0,Saudi Pro League,68.26,50
Reece James,England,26,Chelsea,"CB, RB",156.0,Premier Division,55.62,40
Gianluigi Donnarumma,Italy,27,Manchester City,GK,162.0,Premier Division,75.62,55
Nicolò Barella,Italy,29,Inter,CM,159.0,Serie A,64.85,45
Lucas Hernández,France,30,PSG,"CB, LB",158.0,Ligue 1 Uber Eats,61.62,45
Achraf Hakimi,Morocco,27,PSG,"RB, RM",158.0,Ligue 1 Uber Eats,61.62,45
Raheem Sterling,England,31,Free Agent,"RW, LW",158.0,-,61.62,45
Gabriel Martinelli,Brazil,25,Arsenal,"RW, LW, ST",158.0,Premier Division,61.62,45
Marcus Rashford,England,28,Manchester United,"LW, ST",155.0,Premier Division,52.85,35
Dejan Kulusevski,Sweden,26,Tottenham,"AMF, RW",158.0,Premier Division,61.62,45
Hakan Çalhanoglu,Türkiye,32,Inter,"CDM, AMF",157.0,Serie A,58.54,40
Cristiano Ronaldo,Portugal,41,Al-Nassr,ST,157.0,Saudi Pro League,58.54,40
Marco Verratti,Italy,33,Al-Duhail,CDM,158.0,Stars League,61.62,45
Sergej Milinkovic-Savic,Serbia,31,Al-Hilal,AMF,158.0,Saudi Pro League,61.62,45
N'Golo Kanté,France,35,Fenerbahçe,CDM,157.0,Super League,58.54,40
James Maddison,England,29,Tottenham,"AMF, RW, LW",154.0,Premier Division,50.21,35
Luke Shaw,England,30,Manchester United,"CB, LB",157.0,Premier Division,58.54,40
Matthijs de Ligt,Netherlands,26,Manchester United,CB,156.0,Premier Division,55.62,40
Mike Maignan,France,31,AC Milan,GK,159.0,Serie A,64.85,45
Iñaki Williams,Ghana,32,Athletic Bilbao,"AMF, RW, LW, ST",155.0,First Division,52.85,35
David Alaba,Austria,34,Free Agent,"CB, LB, CM",157.0,-,58.54,40
Kieran Trippier,England,35,Wolves,RB,156.0,Sky Bet Championship,55.62,40
Marco Asensio,Spain,30,Fenerbahçe,"AMF, RW, LW",158.0,Super League,61.62,45
Dayot Upamecano,France,27,Bayern Munich,CB,156.0,Bundesliga,55.62,40
Jamal Musiala,Germany,23,Bayern Munich,"AMF, RW, LW",157.0,Bundesliga,58.54,40
Alexis Mac Allister,Argentina,27,Liverpool,"CDM, AMF",158.0,Premier Division,61.62,45
Enzo Fernández,Argentina,25,Chelsea,"CDM, AMF",156.0,Premier Division,55.62,40
Viktor Gyökeres,Sweden,28,Arsenal,ST,157.0,Premier Division,58.54,40
Jules Koundé,France,27,Barcelona,"CB, RB",155.0,First Division,52.85,35
Ángel Di María,Argentina,38,Rosario Central,"AMF, RW, LW, ST",158.0,Premier Division,61.62,45
Nicolás Otamendi,Argentina,38,River Plate,CB,155.0,Premier Division,52.85,35
João Cancelo,Portugal,32,Al-Hilal,"RB, LB",155.0,Saudi Pro League,52.85,35
Milan Škriniar,Slovakia,31,Fenerbahçe,CB,154.0,Super League,50.21,35
Theo Hernández,France,28,Al-Hilal,"LB, LM",159.0,Saudi Pro League,64.85,45
Emiliano Martínez,Argentina,33,Aston Villa,GK,157.0,Premier Division,58.54,40
Sandro Tonali,Italy,26,Tottenham,CDM,155.0,Premier Division,52.85,35
Andrew Robertson,Scotland,32,Tottenham,LB,155.0,Premier Division,52.85,35
Federico Dimarco,Italy,28,Inter,"CB, LB, LM",155.0,Serie A,52.85,35
Marcus Thuram,France,28,Inter,"LW, ST",155.0,Serie A,52.85,35
Aurélien Tchouameni,France,26,Real Madrid,CDM,158.0,First Division,61.62,45
Koke,Spain,34,Atletico Madrid,"CDM, CM, RM, LM",154.0,First Division,50.21,35
José Gayà,Spain,31,Valencia,"LB, LW",155.0,First Division,52.85,35
Yves Bissouma,Mali,29,Free Agent,CDM,154.0,-,50.21,35
Romelu Lukaku,Belgium,33,Fenerbahçe,ST,158.0,Super League,61.62,45
Casemiro,Brazil,34,Inter Miami,CDM,155.0,MLS,52.85,35
Leon Goretzka,Germany,31,Free Agent,"CDM, AMF",155.0,-,52.85,35
Alphonso Davies,Canada,25,Bayern Munich,"LB, LW",154.0,Bundesliga,50.21,35
Serge Gnabry,Germany,30,Bayern Munich,"RW, LW, ST",156.0,Bundesliga,55.62,40
Gregor Kobel,Switzerland,28,Borussia Dortmund,GK,157.0,Bundesliga,58.54,40
Rodrigo Bentancur,Uruguay,29,Tottenham,CDM,152.0,Premier Division,45.32,30
Gabriel,Brazil,28,Arsenal,CB,157.0,Premier Division,58.54,40
Mason Mount,England,27,Manchester United,"AMF, RW, LW",155.0,Premier Division,52.85,35
Sven Botman,Netherlands,26,Newcastle United,"CB, LB",156.0,Premier Division,55.62,40
Federico Chiesa,Italy,28,Liverpool,"RW, LW, ST",153.0,Premier Division,47.70,35
Pau Torres,Spain,29,Aston Villa,CB,155.0,Premier Division,52.85,35
Moisés Caicedo,Ecuador,24,Chelsea,CDM,156.0,Premier Division,55.62,40
Alexander Isak,Sweden,26,Liverpool,ST,158.0,Premier Division,61.62,45
Henrikh Mkhitaryan,Armenia,37,Inter,"CDM, AMF",155.0,Serie A,52.85,35
Adrien Rabiot,France,31,AC Milan,"CDM, CM, LM",155.0,Serie A,52.85,35
Benjamin Pavard,France,30,Inter,"CB, RB",153.0,Serie A,47.70,35
Wojciech Szczesny,Poland,36,Barcelona,GK,154.0,First Division,50.21,35
Ibrahima Konaté,France,27,Real Madrid,CB,156.0,First Division,55.62,40
Ferland Mendy,France,31,Real Madrid,LB,155.0,First Division,52.85,35
Olivier Giroud,France,39,Lille,ST,155.0,Ligue 1 Uber Eats,52.85,35
Vitinha,Portugal,26,PSG,CDM,157.0,Ligue 1 Uber Eats,58.54,40
Thiago Silva,Brazil,41,Fluminense,CB,153.0,First Division,47.70,35
Nathan Aké,Netherlands,31,Fenerbahçe,"CB, LB, CDM",156.0,Super League,55.62,40
Dušan Vlahovic,Serbia,26,Beşiktaş,ST,154.0,Super League,50.21,35
Yann Sommer,Switzerland,37,Club Brugge,GK,154.0,Jupiler Pro League,50.21,35
Darwin Núñez,Uruguay,27,Al-Hilal,"LW, ST",155.0,Saudi Pro League,52.85,35
João Palhinha,Portugal,31,Bayern Munich,CDM,153.0,Bundesliga,47.70,35
Lisandro Martínez,Argentina,28,Manchester United,"CB, LB",155.0,Premier Division,52.85,35
Benjamin White,England,28,Arsenal,"CB, RB",154.0,Premier Division,50.21,35
Guglielmo Vicario,Italy,29,Tottenham,GK,152.0,Premier Division,45.32,30
Paulo Dybala,Argentina,32,AS Roma,"AMF, RW, ST",153.0,Serie A,47.70,35
Bremer,Brazil,29,Juventus,CB,153.0,Serie A,47.70,35
Randal Kolo Muani,France,27,Juventus,"RW, LW, ST",152.0,Serie A,45.32,30
Pervis Estupiñán,Ecuador,28,AC Milan,"LB, LM",152.0,Serie A,45.32,30
Guido Rodríguez,Argentina,32,Valencia,CDM,153.0,First Division,47.70,35
Dani Olmo,Spain,28,Barcelona,"AMF, RW, LW",154.0,First Division,50.21,35
Sergio Canales,Spain,35,Racing Santander,AMF,152.0,First Division,45.32,30
Ben Chilwell,England,29,Strasbourg,LB,153.0,Ligue 1 Uber Eats,47.70,35
Franck Kessié,Ivory Coast,29,Free Agent,CDM,154.0,-,50.21,35
Yannick Carrasco,Belgium,32,Al-Shabab,"LB, RW, LW",153.0,Saudi Pro League,47.70,35
Marcelo Brozovic,Croatia,33,Free Agent,CDM,153.0,-,47.70,35
Jarrod Bowen,England,29,West Ham United,"RW, LW, ST",153.0,Sky Bet Championship,47.70,35
Mats Hummels,Germany,37,Free Agent,CB,154.0,-,50.21,35
Thomas Müller,Germany,36,Vancouver,"AMF, RW, ST",153.0,MLS,47.70,35
Rafa,Portugal,33,Benfica,"AMF, RW, LW",155.0,Premier League,52.85,35
Mauro Icardi,Argentina,33,Free Agent,ST,153.0,-,47.70,35
Dani Carvajal,Spain,34,Free Agent,RB,154.0,-,50.21,35
Thomas Partey,Ghana,33,Free Agent,"RB, CDM",154.0,-,50.21,35
Oleksandr Zinchenko,Ukraine,29,Free Agent,"LB, CDM",153.0,-,47.70,35
Diogo Costa,Portugal,26,FC Porto,GK,155.0,Premier League,52.85,35
Riyad Mahrez,Algeria,35,Free Agent,"RW, LW",154.0,-,50.21,35
Dominik Szoboszlai,Hungary,25,Liverpool,"AMF, RW, LW",153.0,Premier Division,47.70,35
Lewis Dunk,England,34,Brighton,CB,153.0,Premier Division,47.70,35
Pedro Porro,Spain,26,Tottenham,"RB, RM",152.0,Premier Division,45.32,30
Giovanni Di Lorenzo,Italy,32,Napoli,RB,152.0,Serie A,45.32,30
Alessandro Bastoni,Italy,27,Inter,CB,158.0,Serie A,61.62,45
Manuel Akanji,Switzerland,30,Inter,"CB, RB",153.0,Serie A,47.70,35
Raphinha,Brazil,29,Barcelona,"RW, LW",155.0,First Division,52.85,35
Andreas Christensen,Denmark,30,Barcelona,CB,153.0,First Division,47.70,35
Gerard Moreno,Spain,34,Villarreal,"RW, ST",154.0,First Division,50.21,35
Álex Grimaldo,Spain,30,Atletico Madrid,"LB, LM",153.0,First Division,47.70,35
Gavi,Spain,21,Barcelona,"AMF, LW",153.0,First Division,47.70,35
Yan Diomandé,Ivory Coast,19,Real Madrid,"RW, LW",152.0,First Division,45.32,30
Lucas Ocampos,Argentina,32,Monterrey,"RW, LW, ST",152.0,First Division,45.32,30
Leandro Trossard,Belgium,31,Beşiktaş,"AMF, RW, LW, ST",154.0,Super League,50.21,35
Danilo Pereira,Portugal,34,Al-Ittihad,"CB, CDM",153.0,Saudi Pro League,47.70,35
Sebastián Coates,Uruguay,35,Nacional,CB,152.0,First Division,45.32,30
Julian Brandt,Germany,30,Ajax,"AMF, RW, LW",153.0,Eredivisie,47.70,35
Jérémy Doku,Belgium,24,Manchester City,"RW, LW, ST",153.0,Premier Division,47.70,35
Joelinton,Brazil,29,Newcastle United,"AMF, LW",151.0,Premier Division,43.06,30
Cody Gakpo,Netherlands,27,Liverpool,"AMF, RW, LW, ST",153.0,Premier Division,47.70,35
John McGinn,Scotland,31,Aston Villa,"AMF, RW, LW",151.0,Premier Division,43.06,30
Mikel Merino,Spain,30,Arsenal,CDM,153.0,Premier Division,47.70,35
Teun Koopmeiners,Netherlands,28,Juventus,"CDM, AMF",152.0,Serie A,45.32,30
André-Franck Zambo Anguissa,Cameroon,30,Napoli,CDM,153.0,Serie A,47.70,35
Álvaro Morata,Spain,33,Como,ST,151.0,Serie A,43.06,30
Christian Pulisic,U.S.A.,27,AC Milan,"AMF, RW, LW",152.0,Serie A,45.32,30
Julián Álvarez,Argentina,26,Atletico Madrid,"AMF, RW, LW, ST",155.0,First Division,52.85,35
Iago Aspas,Spain,38,Celta Vigo,"AMF, RW, ST",151.0,First Division,43.06,30
Unai Simón,Spain,29,Athletic Bilbao,GK,152.0,First Division,45.32,30
Mikel Oyarzábal,Spain,29,Real Sociedad,"AMF, RW, LW, ST",151.0,First Division,43.06,30
Ansu Fati,Spain,23,AS Monaco,"AMF, RW, LW, ST",152.0,Ligue 1 Uber Eats,45.32,30
Rodrigo De Paul,Argentina,32,Inter Miami,"AMF, RW",151.0,MLS,43.06,30
Moussa Diaby,France,27,Al-Ittihad,"AMF, RW, LW, ST",153.0,Saudi Pro League,47.70,35
Ricardo Horta,Portugal,31,Braga,"AMF, RW, LW, ST",152.0,Premier League,45.32,30
Luis Alberto,Spain,33,Al-Wakrah,AMF,152.0,Stars League,45.32,30
João Félix,Portugal,26,Al-Nassr,"AMF, RW, LW, ST",150.0,Saudi Pro League,40.91,30
Serhou Guirassy,Guinea,30,Borussia Dortmund,ST,150.0,Bundesliga,40.91,30
Mateo Kovacic,Croatia,32,Manchester City,CDM,153.0,Premier Division,47.70,35
David Raya,Spain,30,Arsenal,GK,156.0,Premier Division,55.62,40
Manuel Ugarte,Uruguay,25,Manchester United,CDM,152.0,Premier Division,45.32,30
Kai Havertz,Germany,27,Arsenal,"AMF, ST",151.0,Premier Division,43.06,30
Florian Wirtz,Germany,23,Liverpool,"AMF, RW, LW",157.0,Premier Division,58.54,40
Granit Xhaka,Switzerland,33,Sunderland,CDM,153.0,Premier Division,47.70,35
Nicolás González,Argentina,28,Juventus,"RW, LW, ST",151.0,Serie A,43.06,30
Fikayo Tomori,England,28,AC Milan,CB,153.0,Serie A,47.70,35
Piotr Zielinski,Poland,32,Inter,AMF,152.0,Serie A,45.32,30
Ivan Provedel,Italy,32,Inter,GK,151.0,Serie A,43.06,30
Alex Meret,Italy,29,Napoli,GK,151.0,Serie A,43.06,30
Marcos Llorente,Spain,31,Atletico Madrid,"RB, CDM, AMF, RW",152.0,First Division,45.32,30
Nuno Mendes,Portugal,24,PSG,LB,153.0,Ligue 1 Uber Eats,47.70,35
Francesco Acerbi,Italy,38,Free Agent,CB,150.0,-,40.91,30
Ismaël Bennacer,Algeria,28,Free Agent,CDM,151.0,-,43.06,30
Kieran Tierney,Scotland,29,Celtic,"CB, LB",150.0,William Hill SPFL,40.91,30
Pablo Sarabia,Spain,34,Al-Arabi,"AMF, RW, LW",151.0,Stars League,43.06,30
Callum Wilson,England,34,Brentford,ST,151.0,Premier Division,43.06,30
Marc Guéhi,England,25,Manchester City,CB,152.0,Premier Division,45.32,30
Joe Gomez,England,29,Liverpool,"CB, RB, LB",151.0,Premier Division,43.06,30
Wesley Fofana,France,25,Chelsea,CB,152.0,Premier Division,45.32,30
Yan Couto,Brazil,24,Como,"RB, RW",150.0,Serie A,40.91,30
Bryan Cristante,Italy,31,AS Roma,CDM,149.0,Serie A,38.87,25
Domenico Berardi,Italy,31,Sassuolo,RW,150.0,Serie A,40.91,30
Mattia Zaccagni,Italy,31,Lazio,"AMF, LW",152.0,Serie A,45.32,30
Stanislav Lobotka,Slovakia,31,Napoli,CDM,151.0,Serie A,43.06,30
Denzel Dumfries,Netherlands,30,Real Madrid,"RB, RM",148.0,First Division,36.93,25
Alejandro Balde,Spain,22,Barcelona,"LB, LW",150.0,First Division,40.91,30
Fabián,Spain,30,PSG,"CDM, AMF",149.0,Ligue 1 Uber Eats,38.87,25
Sergio Ramos,Spain,40,Free Agent,CB,151.0,-,43.06,30
Keylor Navas,Costa Rica,39,Pumas,GK,150.0,First Division,40.91,30
Danilo,Brazil,34,Flamengo,"CB, RB, LB",151.0,First Division,43.06,30
Edson Álvarez,Mexico,28,West Ham United,"CB, CDM",151.0,Sky Bet Championship,43.06,30
Fredrik Aursnes,Norway,30,Benfica,CDM,149.0,Premier League,38.87,25
Álex Moreno,Spain,33,Girona,"LB, LW",149.0,Second Division,38.87,25
Youssef En-Nesyri,Morocco,29,Al-Ittihad,ST,151.0,Saudi Pro League,43.06,30
Michael Olise,France,24,Bayern Munich,"AMF, RW",152.0,Bundesliga,45.32,30
Miguel Gutiérrez,Spain,24,Bayer Leverkusen,LB,150.0,Bundesliga,40.91,30
Jonas Hofmann,Germany,33,Bayer Leverkusen,"AMF, RW",149.0,Bundesliga,38.87,25
Mohammed Kudus,Ghana,25,Tottenham,"AMF, RW, ST",149.0,Premier Division,38.87,25
Joško Gvardiol,Croatia,24,Manchester City,"CB, LB",150.0,Premier Division,40.91,30
Jordan Pickford,England,32,Everton,GK,149.0,Premier Division,38.87,25
Dominic Calvert-Lewin,England,29,Leeds United,ST,150.0,Premier Division,40.91,30
Kostas Tsimikas,Greece,30,Liverpool,LB,150.0,Premier Division,40.91,30
Tijjani Reijnders,Netherlands,27,Manchester City,"CDM, AMF",151.0,Premier Division,43.06,30
Takehiro Tomiyasu,Japan,27,Crystal Palace,"CB, RB, LB",150.0,Premier Division,40.91,30
Martín Zubimendi,Spain,27,Arsenal,CDM,154.0,Premier Division,50.21,35
Ruben Loftus-Cheek,England,30,AC Milan,"CDM, AMF",151.0,Serie A,43.06,30
Matteo Politano,Italy,32,Napoli,"RW, LW",151.0,Serie A,43.06,30
Artem Dovbyk,Ukraine,29,Bologna,ST,149.0,Serie A,38.87,25
Gonçalo Ramos,Portugal,25,AC Milan,ST,149.0,Serie A,38.87,25
Brahim Díaz,Morocco,26,Real Madrid,"AMF, RW",150.0,First Division,40.91,30
Ademola Lookman,Nigeria,28,Atletico Madrid,"AMF, RW, LW, ST",152.0,First Division,45.32,30
Isco,Spain,34,Real Betis,"AMF, RW, LW",149.0,First Division,38.87,25
Álex Remiro,Spain,31,Real Sociedad,GK,151.0,First Division,43.06,30
Aymeric Laporte,Spain,32,Athletic Bilbao,CB,150.0,First Division,40.91,30
Ferran Torres,Spain,26,Barcelona,"RW, LW, ST",151.0,First Division,43.06,30
Ciro Immobile,Italy,36,Paris FC,ST,150.0,Ligue 1 Uber Eats,40.91,30
Héctor Herrera,Mexico,36,Houston,CDM,149.0,MLS,38.87,25
Yassine Bounou,Morocco,35,Al-Hilal,GK,150.0,Saudi Pro League,40.91,30
Fred,Brazil,33,Fenerbahçe,CDM,152.0,Super League,45.32,30
Fabinho,Brazil,32,Free Agent,"CB, CDM",152.0,-,45.32,30
Otávio,Portugal,31,Al-Qadsiah,"AMF, RW, LW",149.0,First Division,38.87,25
Talisca,Brazil,32,Fenerbahçe,"AMF, RW, ST",151.0,Super League,43.06,30
Lucas Paquetá,Brazil,28,Flamengo,"CDM, AMF, LW",150.0,First Division,40.91,30
Pepê,Brazil,29,FC Porto,"RB, RW, LW",151.0,Premier League,43.06,30
James Ward-Prowse,England,31,West Ham United,"CDM, AMF",149.0,Sky Bet Championship,38.87,25
Ivan Toney,England,30,Al-Ahli,ST,149.0,Saudi Pro League,38.87,25
Pedro Gonçalves,Portugal,28,Sporting CP,"AMF, RW, LW",149.0,Premier League,38.87,25
Memphis Depay,Netherlands,32,Free Agent,"AMF, LW, ST",148.0,-,36.93,25
Lucas Torreira,Uruguay,30,Galatasaray,CDM,149.0,Super League,38.87,25
Rúben Neves,Portugal,29,Al-Hilal,CDM,149.0,Saudi Pro League,38.87,25
Aleksandar Mitrovic,Serbia,31,Al-Rayyan,ST,151.0,Stars League,43.06,30
Dani Ceballos,Spain,29,Free Agent,CM,149.0,-,38.87,25
Mateus Uribe,Colombia,35,Atlético Nacional,CDM,149.0,First Division,38.87,25
Luis Suárez,Uruguay,39,Inter Miami,ST,153.0,MLS,47.70,35
Kalidou Koulibaly,Senegal,35,Al-Hilal,CB,151.0,Saudi Pro League,43.06,30
Kurt Zouma,France,31,Free Agent,"CB, RB",149.0,-,38.87,25
Sadio Mané,Senegal,34,Al-Nassr,"AMF, RW, LW, ST",151.0,Saudi Pro League,43.06,30
Édouard Mendy,Senegal,34,Al-Ahli,GK,150.0,Saudi Pro League,40.91,30
Allan Saint-Maximin,France,29,Charlotte FC,"RW, LW, ST",152.0,MLS,45.32,30
Presnel Kimpembe,France,30,Al-Kharaitiyat,CB,148.0,Q-League,36.93,25
Konrad Laimer,Austria,29,Bayern Munich,"RB, CDM",151.0,Bundesliga,43.06,30
Willi Orbán,Hungary,33,RB Leipzig,CB,149.0,Bundesliga,38.87,25
Jonathan Tah,Germany,30,Bayern Munich,"CB, RB",149.0,Bundesliga,38.87,25
Conor Gallagher,England,26,Tottenham,"CDM, AMF",148.0,Premier Division,36.93,25
Curtis Jones,England,25,Liverpool,"AMF, LW",150.0,Premier Division,40.91,30
Noussair Mazraoui,Morocco,28,Manchester United,"RB, LB, CDM, CM, RM",147.0,Premier Division,35.09,25
Kaoru Mitoma,Japan,29,Brighton,LW,149.0,Premier Division,38.87,25
Matheus Nunes,Portugal,27,Manchester City,"AMF, RW",152.0,Premier Division,45.32,30
Pascal Groß,Germany,35,Brighton,"CDM, AMF",150.0,Premier Division,40.91,30
Nahuel Molina,Argentina,28,AS Roma,"RB, RM",151.0,Serie A,43.06,30
David Neres,Brazil,29,Napoli,"RW, LW",148.0,Serie A,36.93,25
Douglas Luiz,Brazil,28,Juventus,CDM,148.0,Serie A,36.93,25
Ederson,Brazil,27,Atalanta,"CDM, AMF",151.0,Serie A,43.06,30
Manuel Locatelli,Italy,28,Juventus,CDM,148.0,Serie A,36.93,25
Davide Frattesi,Italy,26,Inter,CM,150.0,Serie A,40.91,30
Takefusa Kubo,Japan,25,Real Sociedad,"AMF, RW, ST",150.0,First Division,40.91,30
Robin Le Normand,Spain,29,Atletico Madrid,CB,149.0,First Division,38.87,25
Nico Williams,Spain,24,Athletic Bilbao,"RW, LW",152.0,First Division,45.32,30
José Giménez,Uruguay,31,Atletico Madrid,CB,149.0,First Division,38.87,25
Alexandr Golovin,Russia,30,AS Monaco,"AMF, LW",150.0,Ligue 1 Uber Eats,40.91,30
Edmond Tapsoba,Burkina Faso,27,Bayer Leverkusen,CB,148.0,Bundesliga,36.93,25
Exequiel Palacios,Argentina,27,Bayer Leverkusen,CDM,148.0,Bundesliga,36.93,25
Marcel Sabitzer,Austria,32,Borussia Dortmund,"CDM, AMF",148.0,Bundesliga,36.93,25
Pape Matar Sarr,Senegal,23,Tottenham,CDM,149.0,Premier Division,38.87,25
Eddie Nketiah,England,27,Crystal Palace,"RW, LW, ST",148.0,Premier Division,36.93,25
Emile Smith Rowe,England,25,Fulham,"AMF, RW, LW",148.0,Premier Division,36.93,25
Ebere Eze,England,28,Arsenal,"AMF, LW",148.0,Premier Division,36.93,25
Jurriën Timber,Netherlands,25,Arsenal,"CB, RB, LB",149.0,Premier Division,38.87,25
Axel Disasi,France,28,Chelsea,CB,150.0,Premier Division,40.91,30
Giorgi Mamardashvili,Georgia,25,Liverpool,GK,149.0,Premier Division,38.87,25
Xavi Simons,Netherlands,23,Tottenham,AMF,150.0,Premier Division,40.91,30
Fábio Vieira,Portugal,26,Arsenal,"AMF, RW, LW",147.0,Premier Division,35.09,25
Fabian Schär,Switzerland,34,Newcastle United,CB,147.0,Premier Division,35.09,25
Amir Rrahmani,Kosovo,32,Napoli,CB,148.0,Serie A,36.93,25
Trevoh Chalobah,England,27,Como,"CB, RB, CDM",148.0,Serie A,36.93,25
Alessio Romagnoli,Italy,31,Lazio,CB,148.0,Serie A,36.93,25
Anthony Gordon,England,25,Barcelona,"AMF, RW, LW, ST",148.0,First Division,36.93,25
Carlos Soler,Spain,29,Real Sociedad,"AMF, RW",148.0,First Division,36.93,25
Dani Vivian,Spain,27,Athletic Bilbao,"CB, CDM",150.0,First Division,40.91,30
Oihan Sancet,Spain,26,Athletic Bilbao,AMF,150.0,First Division,40.91,30
Thomas Lemar,France,30,Atletico Madrid,"LB, AMF, LW",147.0,First Division,35.09,25
Loïs Openda,Belgium,26,Lyon,ST,148.0,Ligue 1 Uber Eats,36.93,25
Warren Zaïre-Emery,France,20,PSG,CDM,148.0,Ligue 1 Uber Eats,36.93,25
Martin Terrier,France,29,Bayer Leverkusen,"AMF, RW, LW, ST",148.0,Bundesliga,36.93,25
