Format,Scope,Constraint,Lobby size
Auction,Nationality: Burkina Faso,Not applicable,5
Auction,Nationality: Cameroon,Not applicable,2
Auction,Nationality: Cameroon,Not applicable,3
Auction,Nationality: Cameroon,Not applicable,4
Auction,Nationality: Cameroon,Not applicable,5
Auction,Nationality: Canada,Not applicable,2
Auction,Nationality: Canada,Not applicable,3
Auction,Nationality: Canada,Not applicable,4
Auction,Nationality: Canada,Not applicable,5
Auction,Nationality: Central African Rep.,Not applicable,2
Auction,Nationality: Central African Rep.,Not applicable,3
Auction,Nationality: Central African Rep.,Not applicable,4
Auction,Nationality: Central African Rep.,Not applicable,5
Auction,Nationality: Colombia,Not applicable,2
Auction,Nationality: Colombia,Not applicable,3
Auction,Nationality: Colombia,Not applicable,4
Auction,Nationality: Colombia,Not applicable,5
Auction,Nationality: Costa Rica,Not applicable,2
Auction,Nationality: Costa Rica,Not applicable,3
Auction,Nationality: Costa Rica,Not applicable,4
Auction,Nationality: Costa Rica,Not applicable,5
Auction,Nationality: Croatia,Not applicable,2
Auction,Nationality: Croatia,Not applicable,3
Auction,Nationality: Croatia,Not applicable,4
Auction,Nationality: Croatia,Not applicable,5
Auction,Nationality: Czechia,Not applicable,2
Auction,Nationality: Czechia,Not applicable,3
Auction,Nationality: Czechia,Not applicable,4
Auction,Nationality: Czechia,Not applicable,5
Auction,Nationality: Denmark,Not applicable,2
Auction,Nationality: Denmark,Not applicable,3
Auction,Nationality: Denmark,Not applicable,4
Auction,Nationality: Denmark,Not applicable,5
Auction,Nationality: Ecuador,Not applicable,2
Auction,Nationality: Ecuador,Not applicable,3
Auction,Nationality: Ecuador,Not applicable,4
Auction,Nationality: Ecuador,Not applicable,5
Auction,Nationality: Egypt,Not applicable,2
Auction,Nationality: Egypt,Not applicable,3
Auction,Nationality: Egypt,Not applicable,4
Auction,Nationality: Egypt,Not applicable,5
Auction,Nationality: England,Not applicable,2
Auction,Nationality: England,Not applicable,3
Auction,Nationality: England,Not applicable,4
Auction,Nationality: England,Not applicable,5
Auction,Nationality: France,Not applicable,2
Auction,Nationality: France,Not applicable,3
Auction,Nationality: France,Not applicable,4
Auction,Nationality: France,Not applicable,5
Auction,Nationality: Georgia,Not applicable,2
Auction,Nationality: Georgia,Not applicable,3
Auction,Nationality: Georgia,Not applicable,4
Auction,Nationality: Georgia,Not applicable,5
Auction,Nationality: Germany,Not applicable,2
Auction,Nationality: Germany,Not applicable,3
Auction,Nationality: Germany,Not applicable,4
Auction,Nationality: Germany,Not applicable,5
Auction,Nationality: Ghana,Not applicable,2
Auction,Nationality: Ghana,Not applicable,3
Auction,Nationality: Ghana,Not applicable,4
Auction,Nationality: Ghana,Not applicable,5
Auction,Nationality: Greece,Not applicable,2
Auction,Nationality: Greece,Not applicable,3
Auction,Nationality: Greece,Not applicable,4
Auction,Nationality: Greece,Not applicable,5
Auction,Nationality: Guinea,Not applicable,2
Auction,Nationality: Guinea,Not applicable,3
Auction,Nationality: Guinea,Not applicable,4
Auction,Nationality: Guinea,Not applicable,5
Auction,Nationality: Guinea-Bissau,Not applicable,2
Auction,Nationality: Guinea-Bissau,Not applicable,3
Auction,Nationality: Guinea-Bissau,Not applicable,4
Auction,Nationality: Guinea-Bissau,Not applicable,5
Auction,Nationality: Hungary,Not applicable,2
Auction,Nationality: Hungary,Not applicable,3
Auction,Nationality: Hungary,Not applicable,4
Auction,Nationality: Hungary,Not applicable,5
Auction,Nationality: Iceland,Not applicable,2
Auction,Nationality: Iceland,Not applicable,3
Auction,Nationality: Iceland,Not applicable,4
Auction,Nationality: Iceland,Not applicable,5
Auction,Nationality: Italy,Not applicable,2
Auction,Nationality: Italy,Not applicable,3
Auction,Nationality: Italy,Not applicable,4
Auction,Nationality: Italy,Not applicable,5
Auction,Nationality: Ivory Coast,Not applicable,2
Auction,Nationality: Ivory Coast,Not applicable,3
Auction,Nationality: Ivory Coast,Not applicable,4
Auction,Nationality: Ivory Coast,Not applicable,5
Auction,Nationality: Jamaica,Not applicable,2
Auction,Nationality: Jamaica,Not applicable,3
Auction,Nationality: Jamaica,Not applicable,4
Auction,Nationality: Jamaica,Not applicable,5
Auction,Nationality: Japan,Not applicable,2
Auction,Nationality: Japan,Not applicable,3
Auction,Nationality: Japan,Not applicable,4
Auction,Nationality: Japan,Not applicable,5
Auction,Nationality: Kosovo,Not applicable,2
Auction,Nationality: Kosovo,Not applicable,3
Auction,Nationality: Kosovo,Not applicable,4
Auction,Nationality: Kosovo,Not applicable,5
Auction,Nationality: Mali,Not applicable,2
Auction,Nationality: Mali,Not applicable,3
Auction,Nationality: Mali,Not applicable,4
Auction,Nationality: Mali,Not applicable,5
Auction,Nationality: Mexico,Not applicable,2
Auction,Nationality: Mexico,Not applicable,3
Auction,Nationality: Mexico,Not applicable,4
Auction,Nationality: Mexico,Not applicable,5
Auction,Nationality: Montenegro,Not applicable,2
Auction,Nationality: Montenegro,Not applicable,3
Auction,Nationality: Montenegro,Not applicable,4
Auction,Nationality: Montenegro,Not applicable,5
Auction,Nationality: Morocco,Not applicable,2
Auction,Nationality: Morocco,Not applicable,3
Auction,Nationality: Morocco,Not applicable,4
Auction,Nationality: Morocco,Not applicable,5
Auction,Nationality: Mozambique,Not applicable,2
Auction,Nationality: Mozambique,Not applicable,3
Auction,Nationality: Mozambique,Not applicable,4
Auction,Nationality: Mozambique,Not applicable,5
Auction,Nationality: Netherlands,Not applicable,2
Auction,Nationality: Netherlands,Not applicable,3
Auction,Nationality: Netherlands,Not applicable,4
Auction,Nationality: Netherlands,Not applicable,5
Auction,Nationality: Nigeria,Not applicable,2
Auction,Nationality: Nigeria,Not applicable,3
Auction,Nationality: Nigeria,Not applicable,4
Auction,Nationality: Nigeria,Not applicable,5
Auction,Nationality: North Macedonia,Not applicable,2
Auction,Nationality: North Macedonia,Not applicable,3
Auction,Nationality: North Macedonia,Not applicable,4
Auction,Nationality: North Macedonia,Not applicable,5
Auction,Nationality: Norway,Not applicable,2
Auction,Nationality: Norway,Not applicable,3
Auction,Nationality: Norway,Not applicable,4
Auction,Nationality: Norway,Not applicable,5
Auction,Nationality: Poland,Not applicable,2
Auction,Nationality: Poland,Not applicable,3
Auction,Nationality: Poland,Not applicable,4
Auction,Nationality: Poland,Not applicable,5
Auction,Nationality: Portugal,Not applicable,2
Auction,Nationality: Portugal,Not applicable,3
Auction,Nationality: Portugal,Not applicable,4
Auction,Nationality: Portugal,Not applicable,5
Auction,Nationality: Russia,Not applicable,2
Auction,Nationality: Russia,Not applicable,3
Auction,Nationality: Russia,Not applicable,4
Auction,Nationality: Russia,Not applicable,5
Auction,Nationality: Scotland,Not applicable,2
Auction,Nationality: Scotland,Not applicable,3
Auction,Nationality: Scotland,Not applicable,4
Auction,Nationality: Scotland,Not applicable,5
Auction,Nationality: Senegal,Not applicable,2
Auction,Nationality: Senegal,Not applicable,3
Auction,Nationality: Senegal,Not applicable,4
Auction,Nationality: Senegal,Not applicable,5
Auction,Nationality: Serbia,Not applicable,2
Auction,Nationality: Serbia,Not applicable,3
Auction,Nationality: Serbia,Not applicable,4
Auction,Nationality: Serbia,Not applicable,5
Auction,Nationality: Slovakia,Not applicable,2
Auction,Nationality: Slovakia,Not applicable,3
Auction,Nationality: Slovakia,Not applicable,4
Auction,Nationality: Slovakia,Not applicable,5
Auction,Nationality: Slovenia,Not applicable,2
Auction,Nationality: Slovenia,Not applicable,3
Auction,Nationality: Slovenia,Not applicable,4
Auction,Nationality: Slovenia,Not applicable,5
Auction,Nationality: South Korea,Not applicable,2
Auction,Nationality: South Korea,Not applicable,3
Auction,Nationality: South Korea,Not applicable,4
Auction,Nationality: South Korea,Not applicable,5
Auction,Nationality: Spain,Not applicable,2
Auction,Nationality: Spain,Not applicable,3
Auction,Nationality: Spain,Not applicable,4
Auction,Nationality: Spain,Not applicable,5
Auction,Nationality: Sweden,Not applicable,2
Auction,Nationality: Sweden,Not applicable,3
Auction,Nationality: Sweden,Not applicable,4
Auction,Nationality: Sweden,Not applicable,5
Auction,Nationality: Switzerland,Not applicable,2
Auction,Nationality: Switzerland,Not applicable,3
Auction,Nationality: Switzerland,Not applicable,4
Auction,Nationality: Switzerland,Not applicable,5
Auction,Nationality: Tunisia,Not applicable,2
Auction,Nationality: Tunisia,Not applicable,3
Auction,Nationality: Tunisia,Not applicable,4
Auction,Nationality: Tunisia,Not applicable,5
Auction,Nationality: Türkiye,Not applicable,2
Auction,Nationality: Türkiye,Not applicable,3
Auction,Nationality: Türkiye,Not applicable,4
Auction,Nationality: Türkiye,Not applicable,5
Auction,Nationality: U.S.A.,Not applicable,2
Auction,Nationality: U.S.A.,Not applicable,3
Auction,Nationality: U.S.A.,Not applicable,4
Auction,Nationality: U.S.A.,Not applicable,5
Auction,Nationality: Ukraine,Not applicable,2
Auction,Nationality: Ukraine,Not applicable,3
Auction,Nationality: Ukraine,Not applicable,4
Auction,Nationality: Ukraine,Not applicable,5
Auction,Nationality: Uruguay,Not applicable,2
Auction,Nationality: Uruguay,Not applicable,3
Auction,Nationality: Uruguay,Not applicable,4
Auction,Nationality: Uruguay,Not applicable,5
Auction,Nationality: Venezuela,Not applicable,2
Auction,Nationality: Venezuela,Not applicable,3
Auction,Nationality: Venezuela,Not applicable,4
Auction,Nationality: Venezuela,Not applicable,5
Auction,Nationality: Wales,Not applicable,2
Auction,Nationality: Wales,Not applicable,3
Auction,Nationality: Wales,Not applicable,4
Auction,Nationality: Wales,Not applicable,5
Deal or No Deal,All players,Not applicable,2
Deal or No Deal,All players,Not applicable,3
Deal or No Deal,All players,Not applicable,4
Deal or No Deal,All players,Not applicable,5
Deal or No Deal,Top 5 leagues,Not applicable,2
Deal or No Deal,Top 5 leagues,Not applicable,3
Deal or No Deal,Top 5 leagues,Not applicable,4
Deal or No Deal,Top 5 leagues,Not applicable,5
Deal or No Deal,League: Serie A,Not applicable,2
Deal or No Deal,League: Serie A,Not applicable,3
Deal or No Deal,League: Serie A,Not applicable,4
Deal or No Deal,League: Serie A,Not applicable,5
Deal or No Deal,League: Premier Division,Not applicable,2
Deal or No Deal,League: Premier Division,Not applicable,3
Deal or No Deal,League: Premier Division,Not applicable,4
Deal or No Deal,League: Premier Division,Not applicable,5
Deal or No Deal,League: First Division,Not applicable,2
Deal or No Deal,League: First Division,Not applicable,3
Deal or No Deal,League: First Division,Not applicable,4
Deal or No Deal,League: First Division,Not applicable,5
Deal or No Deal,League: Bundesliga,Not applicable,2
Deal or No Deal,League: Bundesliga,Not applicable,3
Deal or No Deal,League: Bundesliga,Not applicable,4
Deal or No Deal,League: Bundesliga,Not applicable,5
Deal or No Deal,League: Ligue 1 Uber Eats,Not applicable,2
Deal or No Deal,League: Ligue 1 Uber Eats,Not applicable,3
Deal or No Deal,League: Ligue 1 Uber Eats,Not applicable,4
Deal or No Deal,League: Ligue 1 Uber Eats,Not applicable,5
Deal or No Deal,Nationality: Algeria,Not applicable,2
Deal or No Deal,Nationality: Algeria,Not applicable,3
Deal or No Deal,Nationality: Algeria,Not applicable,4
Deal or No Deal,Nationality: Algeria,Not applicable,5
Deal or No Deal,Nationality: Argentina,Not applicable,2
Deal or No Deal,Nationality: Argentina,Not applicable,3
Deal or No Deal,Nationality: Argentina,Not applicable,4
Deal or No Deal,Nationality: Argentina,Not applicable,5
Deal or No Deal,Nationality: Armenia,Not applicable,2
Deal or No Deal,Nationality: Armenia,Not applicable,3
Deal or No Deal,Nationality: Armenia,Not applicable,4
Deal or No Deal,Nationality: Armenia,Not applicable,5
Deal or No Deal,Nationality: Austria,Not applicable,2
Deal or No Deal,Nationality: Austria,Not applicable,3
Deal or No Deal,Nationality: Austria,Not applicable,4
Deal or No Deal,Nationality: Austria,Not applicable,5
Deal or No Deal,Nationality: Belgium,Not applicable,2
Deal or No Deal,Nationality: Belgium,Not applicable,3
Deal or No Deal,Nationality: Belgium,Not applicable,4
Deal or No Deal,Nationality: Belgium,Not applicable,5
Deal or No Deal,Nationality: Bosnia & Herzegovina,Not applicable,2
Deal or No Deal,Nationality: Bosnia & Herzegovina,Not applicable,3
Deal or No Deal,Nationality: Bosnia & Herzegovina,Not applicable,4
Deal or No Deal,Nationality: Bosnia & Herzegovina,Not applicable,5
Deal or No Deal,Nationality: Brazil,Not applicable,2
Deal or No Deal,Nationality: Brazil,Not applicable,3
Deal or No Deal,Nationality: Brazil,Not applicable,4
Deal or No Deal,Nationality: Brazil,Not applicable,5
Deal or No Deal,Nationality: Burkina Faso,Not applicable,2
Deal or No Deal,Nationality: Burkina Faso,Not applicable,3
Deal or No Deal,Nationality: Burkina Faso,Not applicable,4
Deal or No Deal,Nationality: Burkina Faso,Not applicable,5
Deal or No Deal,Nationality: Cameroon,Not applicable,2
Deal or No Deal,Nationality: Cameroon,Not applicable,3
Deal or No Deal,Nationality: Cameroon,Not applicable,4
Deal or No Deal,Nationality: Cameroon,Not applicable,5
Deal or No Deal,Nationality: Canada,Not applicable,2
Deal or No Deal,Nationality: Canada,Not applicable,3
Deal or No Deal,Nationality: Canada,Not applicable,4
Deal or No Deal,Nationality: Canada,Not applicable,5
Deal or No Deal,Nationality: Central African Rep.,Not applicable,2
Deal or No Deal,Nationality: Central African Rep.,Not applicable,3
Deal or No Deal,Nationality: Central African Rep.,Not applicable,4
Deal or No Deal,Nationality: Central African Rep.,Not applicable,5
Deal or No Deal,Nationality: Colombia,Not applicable,2
Deal or No Deal,Nationality: Colombia,Not applicable,3
Deal or No Deal,Nationality: Colombia,Not applicable,4
Deal or No Deal,Nationality: Colombia,Not applicable,5
Deal or No Deal,Nationality: Costa Rica,Not applicable,2
Deal or No Deal,Nationality: Costa Rica,Not applicable,3
Deal or No Deal,Nationality: Costa Rica,Not applicable,4
Deal or No Deal,Nationality: Costa Rica,Not applicable,5
Deal or No Deal,Nationality: Croatia,Not applicable,2
Deal or No Deal,Nationality: Croatia,Not applicable,3
Deal or No Deal,Nationality: Croatia,Not applicable,4
Deal or No Deal,Nationality: Croatia,Not applicable,5
Deal or No Deal,Nationality: Czechia,Not applicable,2
Deal or No Deal,Nationality: Czechia,Not applicable,3
Deal or No Deal,Nationality: Czechia,Not applicable,4
Deal or No Deal,Nationality: Czechia,Not applicable,5
Deal or No Deal,Nationality: Denmark,Not applicable,2
Deal or No Deal,Nationality: Denmark,Not applicable,3
Deal or No Deal,Nationality: Denmark,Not applicable,4
Deal or No Deal,Nationality: Denmark,Not applicable,5
Deal or No Deal,Nationality: Ecuador,Not applicable,2
Deal or No Deal,Nationality: Ecuador,Not applicable,3
Deal or No Deal,Nationality: Ecuador,Not applicable,4
Deal or No Deal,Nationality: Ecuador,Not applicable,5
Deal or No Deal,Nationality: Egypt,Not applicable,2
Deal or No Deal,Nationality: Egypt,Not applicable,3
Deal or No Deal,Nationality: Egypt,Not applicable,4
Deal or No Deal,Nationality: Egypt,Not applicable,5
Deal or No Deal,Nationality: England,Not applicable,2
Deal or No Deal,Nationality: England,Not applicable,3
Deal or No Deal,Nationality: England,Not applicable,4
Deal or No Deal,Nationality: England,Not applicable,5
Deal or No Deal,Nationality: France,Not applicable,2
Deal or No Deal,Nationality: France,Not applicable,3
Deal or No Deal,Nationality: France,Not applicable,4
Deal or No Deal,Nationality: France,Not applicable,5
Deal or No Deal,Nationality: Georgia,Not applicable,2
Deal or No Deal,Nationality: Georgia,Not applicable,3
Deal or No Deal,Nationality: Georgia,Not applicable,4
Deal or No Deal,Nationality: Georgia,Not applicable,5
Deal or No Deal,Nationality: Germany,Not applicable,2
Deal or No Deal,Nationality: Germany,Not applicable,3
Deal or No Deal,Nationality: Germany,Not applicable,4
Deal or No Deal,Nationality: Germany,Not applicable,5
Deal or No Deal,Nationality: Ghana,Not applicable,2
Deal or No Deal,Nationality: Ghana,Not applicable,3
Deal or No Deal,Nationality: Ghana,Not applicable,4
Deal or No Deal,Nationality: Ghana,Not applicable,5
Deal or No Deal,Nationality: Greece,Not applicable,2
Deal or No Deal,Nationality: Greece,Not applicable,3
Deal or No Deal,Nationality: Greece,Not applicable,4
Deal or No Deal,Nationality: Greece,Not applicable,5
Deal or No Deal,Nationality: Guinea,Not applicable,2
Deal or No Deal,Nationality: Guinea,Not applicable,3
Deal or No Deal,Nationality: Guinea,Not applicable,4
Deal or No Deal,Nationality: Guinea,Not applicable,5
Deal or No Deal,Nationality: Guinea-Bissau,Not applicable,2
Deal or No Deal,Nationality: Guinea-Bissau,Not applicable,3
Deal or No Deal,Nationality: Guinea-Bissau,Not applicable,4
Deal or No Deal,Nationality: Guinea-Bissau,Not applicable,5
Deal or No Deal,Nationality: Hungary,Not applicable,2
Deal or No Deal,Nationality: Hungary,Not applicable,3
Deal or No Deal,Nationality: Hungary,Not applicable,4
Deal or No Deal,Nationality: Hungary,Not applicable,5
Deal or No Deal,Nationality: Iceland,Not applicable,2
Deal or No Deal,Nationality: Iceland,Not applicable,3
Deal or No Deal,Nationality: Iceland,Not applicable,4
Deal or No Deal,Nationality: Iceland,Not applicable,5
Deal or No Deal,Nationality: Italy,Not applicable,2
Deal or No Deal,Nationality: Italy,Not applicable,3
Deal or No Deal,Nationality: Italy,Not applicable,4
Deal or No Deal,Nationality: Italy,Not applicable,5
Deal or No Deal,Nationality: Ivory Coast,Not applicable,2
Deal or No Deal,Nationality: Ivory Coast,Not applicable,3
Deal or No Deal,Nationality: Ivory Coast,Not applicable,4
Deal or No Deal,Nationality: Ivory Coast,Not applicable,5
Deal or No Deal,Nationality: Jamaica,Not applicable,2
Deal or No Deal,Nationality: Jamaica,Not applicable,3
Deal or No Deal,Nationality: Jamaica,Not applicable,4
Deal or No Deal,Nationality: Jamaica,Not applicable,5
Deal or No Deal,Nationality: Japan,Not applicable,2
Deal or No Deal,Nationality: Japan,Not applicable,3
Deal or No Deal,Nationality: Japan,Not applicable,4
Deal or No Deal,Nationality: Japan,Not applicable,5
Deal or No Deal,Nationality: Kosovo,Not applicable,2
Deal or No Deal,Nationality: Kosovo,Not applicable,3
Deal or No Deal,Nationality: Kosovo,Not applicable,4
Deal or No Deal,Nationality: Kosovo,Not applicable,5
Deal or No Deal,Nationality: Mali,Not applicable,2
Deal or No Deal,Nationality: Mali,Not applicable,3
Deal or No Deal,Nationality: Mali,Not applicable,4
Deal or No Deal,Nationality: Mali,Not applicable,5
Deal or No Deal,Nationality: Mexico,Not applicable,2
Deal or No Deal,Nationality: Mexico,Not applicable,3
Deal or No Deal,Nationality: Mexico,Not applicable,4
Deal or No Deal,Nationality: Mexico,Not applicable,5
Deal or No Deal,Nationality: Montenegro,Not applicable,2
Deal or No Deal,Nationality: Montenegro,Not applicable,3
Deal or No Deal,Nationality: Montenegro,Not applicable,4
Deal or No Deal,Nationality: Montenegro,Not applicable,5
Deal or No Deal,Nationality: Morocco,Not applicable,2
Deal or No Deal,Nationality: Morocco,Not applicable,3
Deal or No Deal,Nationality: Morocco,Not applicable,4
Deal or No Deal,Nationality: Morocco,Not applicable,5
Deal or No Deal,Nationality: Mozambique,Not applicable,2
Deal or No Deal,Nationality: Mozambique,Not applicable,3
Deal or No Deal,Nationality: Mozambique,Not applicable,4
Deal or No Deal,Nationality: Mozambique,Not applicable,5
Deal or No Deal,Nationality: Netherlands,Not applicable,2
Deal or No Deal,Nationality: Netherlands,Not applicable,3
Deal or No Deal,Nationality: Netherlands,Not applicable,4
Deal or No Deal,Nationality: Netherlands,Not applicable,5
Deal or No Deal,Nationality: Nigeria,Not applicable,2
Deal or No Deal,Nationality: Nigeria,Not applicable,3
Deal or No Deal,Nationality: Nigeria,Not applicable,4
Deal or No Deal,Nationality: Nigeria,Not applicable,5
Deal or No Deal,Nationality: North Macedonia,Not applicable,2
Deal or No Deal,Nationality: North Macedonia,Not applicable,3
Deal or No Deal,Nationality: North Macedonia,Not applicable,4
Deal or No Deal,Nationality: North Macedonia,Not applicable,5
Deal or No Deal,Nationality: Norway,Not applicable,2
Deal or No Deal,Nationality: Norway,Not applicable,3
Deal or No Deal,Nationality: Norway,Not applicable,4
Deal or No Deal,Nationality: Norway,Not applicable,5
Deal or No Deal,Nationality: Poland,Not applicable,2
Deal or No Deal,Nationality: Poland,Not applicable,3
Deal or No Deal,Nationality: Poland,Not applicable,4
Deal or No Deal,Nationality: Poland,Not applicable,5
Deal or No Deal,Nationality: Portugal,Not applicable,2
Deal or No Deal,Nationality: Portugal,Not applicable,3
Deal or No Deal,Nationality: Portugal,Not applicable,4
Deal or No Deal,Nationality: Portugal,Not applicable,5
Deal or No Deal,Nationality: Russia,Not applicable,2
Deal or No Deal,Nationality: Russia,Not applicable,3
Deal or No Deal,Nationality: Russia,Not applicable,4
Deal or No Deal,Nationality: Russia,Not applicable,5
Deal or No Deal,Nationality: Scotland,Not applicable,2
Deal or No Deal,Nationality: Scotland,Not applicable,3
Deal or No Deal,Nationality: Scotland,Not applicable,4
Deal or No Deal,Nationality: Scotland,Not applicable,5
Deal or No Deal,Nationality: Senegal,Not applicable,2
Deal or No Deal,Nationality: Senegal,Not applicable,3
Deal or No Deal,Nationality: Senegal,Not applicable,4
Deal or No Deal,Nationality: Senegal,Not applicable,5
Deal or No Deal,Nationality: Serbia,Not applicable,2
Deal or No Deal,Nationality: Serbia,Not applicable,3
Deal or No Deal,Nationality: Serbia,Not applicable,4
Deal or No Deal,Nationality: Serbia,Not applicable,5
Deal or No Deal,Nationality: Slovakia,Not applicable,2
Deal or No Deal,Nationality: Slovakia,Not applicable,3
Deal or No Deal,Nationality: Slovakia,Not applicable,4
Deal or No Deal,Nationality: Slovakia,Not applicable,5
Deal or No Deal,Nationality: Slovenia,Not applicable,2
Deal or No Deal,Nationality: Slovenia,Not applicable,3
Deal or No Deal,Nationality: Slovenia,Not applicable,4
Deal or No Deal,Nationality: Slovenia,Not applicable,5
Deal or No Deal,Nationality: South Korea,Not applicable,2
Deal or No Deal,Nationality: South Korea,Not applicable,3
Deal or No Deal,Nationality: South Korea,Not applicable,4
Deal or No Deal,Nationality: South Korea,Not applicable,5
Deal or No Deal,Nationality: Spain,Not applicable,2
Deal or No Deal,Nationality: Spain,Not applicable,3
Deal or No Deal,Nationality: Spain,Not applicable,4
Deal or No Deal,Nationality: Spain,Not applicable,5
Deal or No Deal,Nationality: Sweden,Not applicable,2
Deal or No Deal,Nationality: Sweden,Not applicable,3
Deal or No Deal,Nationality: Sweden,Not applicable,4
Deal or No Deal,Nationality: Sweden,Not applicable,5
Deal or No Deal,Nationality: Switzerland,Not applicable,2
Deal or No Deal,Nationality: Switzerland,Not applicable,3
Deal or No Deal,Nationality: Switzerland,Not applicable,4
Deal or No Deal,Nationality: Switzerland,Not applicable,5
Deal or No Deal,Nationality: Tunisia,Not applicable,2
Deal or No Deal,Nationality: Tunisia,Not applicable,3
Deal or No Deal,Nationality: Tunisia,Not applicable,4
Deal or No Deal,Nationality: Tunisia,Not applicable,5
Deal or No Deal,Nationality: Türkiye,Not applicable,2
Deal or No Deal,Nationality: Türkiye,Not applicable,3
Deal or No Deal,Nationality: Türkiye,Not applicable,4
Deal or No Deal,Nationality: Türkiye,Not applicable,5
Deal or No Deal,Nationality: U.S.A.,Not applicable,2
Deal or No Deal,Nationality: U.S.A.,Not applicable,3
Deal or No Deal,Nationality: U.S.A.,Not applicable,4
Deal or No Deal,Nationality: U.S.A.,Not applicable,5
Deal or No Deal,Nationality: Ukraine,Not applicable,2
Deal or No Deal,Nationality: Ukraine,Not applicable,3
Deal or No Deal,Nationality: Ukraine,Not applicable,4
Deal or No Deal,Nationality: Ukraine,Not applicable,5
Deal or No Deal,Nationality: Uruguay,Not applicable,2
Deal or No Deal,Nationality: Uruguay,Not applicable,3
Deal or No Deal,Nationality: Uruguay,Not applicable,4
Deal or No Deal,Nationality: Uruguay,Not applicable,5
Deal or No Deal,Nationality: Venezuela,Not applicable,2
Deal or No Deal,Nationality: Venezuela,Not applicable,3
Deal or No Deal,Nationality: Venezuela,Not applicable,4
Deal or No Deal,Nationality: Venezuela,Not applicable,5
Deal or No Deal,Nationality: Wales,Not applicable,2
Deal or No Deal,Nationality: Wales,Not applicable,3
Deal or No Deal,Nationality: Wales,Not applicable,4
Deal or No Deal,Nationality: Wales,Not applicable,5
Free Pick,All players,No constraints,2
Free Pick,All players,No constraints,3
Free Pick,All players,No constraints,4
Free Pick,All players,No constraints,5
Free Pick,All players,1 per club,2
Free Pick,All players,1 per club,3
Free Pick,All players,1 per club,4
Free Pick,All players,1 per club,5
Free Pick,All players,3 per club,2
Free Pick,All players,3 per club,3
Free Pick,All players,3 per club,4
Free Pick,All players,3 per club,5
Free Pick,All players,1 per nationality,2
Free Pick,All players,1 per nationality,3
Free Pick,All players,1 per nationality,4
Free Pick,All players,1 per nationality,5
Free Pick,All players,3 per nationality,2
Free Pick,All players,3 per nationality,3
Free Pick,All players,3 per nationality,4
Free Pick,All players,3 per nationality,5
Free Pick,Top 5 leagues,No constraints,2
Free Pick,Top 5 leagues,No constraints,3
Free Pick,Top 5 leagues,No constraints,4
Free Pick,Top 5 leagues,No constraints,5
Free Pick,Top 5 leagues,1 per club,2
Free Pick,Top 5 leagues,1 per club,3
Free Pick,Top 5 leagues,1 per club,4
Free Pick,Top 5 leagues,1 per club,5
