Format,Scope,Constraint,Lobby size,Result,Simulations run,Detail
Auction,Nationality: Bosnia & Herzegovina,Not applicable,5,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Brazil,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Brazil,Not applicable,3,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Brazil,Not applicable,4,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Brazil,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Burkina Faso,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Burkina Faso,Not applicable,3,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Burkina Faso,Not applicable,4,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Burkina Faso,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Cameroon,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Cameroon,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Cameroon,Not applicable,4,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Cameroon,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Canada,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Canada,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Canada,Not applicable,4,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Canada,Not applicable,5,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Central African Rep.,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Central African Rep.,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Central African Rep.,Not applicable,4,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Central African Rep.,Not applicable,5,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Colombia,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Colombia,Not applicable,3,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Colombia,Not applicable,4,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Colombia,Not applicable,5,SHORTAGE,1,"Auction: drafter 4 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Costa Rica,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Costa Rica,Not applicable,3,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Costa Rica,Not applicable,4,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Costa Rica,Not applicable,5,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Croatia,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Croatia,Not applicable,3,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Croatia,Not applicable,4,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Croatia,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Czechia,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Czechia,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Czechia,Not applicable,4,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Czechia,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Denmark,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Denmark,Not applicable,3,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Denmark,Not applicable,4,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Denmark,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Ecuador,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Ecuador,Not applicable,3,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Ecuador,Not applicable,4,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Ecuador,Not applicable,5,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Egypt,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Egypt,Not applicable,3,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Egypt,Not applicable,4,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Egypt,Not applicable,5,SHORTAGE,1,"Auction: drafter 4 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: England,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: England,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: England,Not applicable,4,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: England,Not applicable,5,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: France,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: France,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: France,Not applicable,4,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: France,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Georgia,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Georgia,Not applicable,3,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Georgia,Not applicable,4,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Georgia,Not applicable,5,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Germany,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Germany,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Germany,Not applicable,4,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Germany,Not applicable,5,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Ghana,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Ghana,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Ghana,Not applicable,4,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Ghana,Not applicable,5,SHORTAGE,1,"Auction: drafter 4 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Greece,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Greece,Not applicable,3,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Greece,Not applicable,4,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Greece,Not applicable,5,SHORTAGE,1,"Auction: drafter 4 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Guinea,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Guinea,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Guinea,Not applicable,4,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Guinea,Not applicable,5,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Guinea-Bissau,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Guinea-Bissau,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Guinea-Bissau,Not applicable,4,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Guinea-Bissau,Not applicable,5,SHORTAGE,1,"Auction: drafter 4 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Hungary,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Hungary,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Hungary,Not applicable,4,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Hungary,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Iceland,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Iceland,Not applicable,3,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Iceland,Not applicable,4,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Iceland,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Italy,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Italy,Not applicable,3,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Italy,Not applicable,4,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Italy,Not applicable,5,SHORTAGE,1,"Auction: drafter 4 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Ivory Coast,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Ivory Coast,Not applicable,3,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Ivory Coast,Not applicable,4,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Ivory Coast,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Jamaica,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Jamaica,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Jamaica,Not applicable,4,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Jamaica,Not applicable,5,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Japan,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Japan,Not applicable,3,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Japan,Not applicable,4,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Japan,Not applicable,5,SHORTAGE,1,"Auction: drafter 4 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Kosovo,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Kosovo,Not applicable,3,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Kosovo,Not applicable,4,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Kosovo,Not applicable,5,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Mali,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Mali,Not applicable,3,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Mali,Not applicable,4,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Mali,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Mexico,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Mexico,Not applicable,3,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Mexico,Not applicable,4,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Mexico,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Montenegro,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Montenegro,Not applicable,3,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Montenegro,Not applicable,4,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Montenegro,Not applicable,5,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Morocco,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Morocco,Not applicable,3,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Morocco,Not applicable,4,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Morocco,Not applicable,5,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Mozambique,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Mozambique,Not applicable,3,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Mozambique,Not applicable,4,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Mozambique,Not applicable,5,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Netherlands,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Netherlands,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Netherlands,Not applicable,4,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Netherlands,Not applicable,5,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Nigeria,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Nigeria,Not applicable,3,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Nigeria,Not applicable,4,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Nigeria,Not applicable,5,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: North Macedonia,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: North Macedonia,Not applicable,3,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: North Macedonia,Not applicable,4,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: North Macedonia,Not applicable,5,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Norway,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Norway,Not applicable,3,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Norway,Not applicable,4,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Norway,Not applicable,5,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Poland,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Poland,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Poland,Not applicable,4,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Poland,Not applicable,5,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Portugal,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Portugal,Not applicable,3,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Portugal,Not applicable,4,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Portugal,Not applicable,5,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Russia,Not applicable,2,SHORTAGE,1,"Auction: drafter 0 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Russia,Not applicable,3,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Russia,Not applicable,4,SHORTAGE,1,"Auction: drafter 3 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Russia,Not applicable,5,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Scotland,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Scotland,Not applicable,3,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Scotland,Not applicable,4,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Scotland,Not applicable,5,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Senegal,Not applicable,2,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Senegal,Not applicable,3,SHORTAGE,1,"Auction: drafter 1 left with unfillable slot(s), backfill has no eligible unsold player"
Auction,Nationality: Senegal,Not applicable,4,SHORTAGE,1,"Auction: drafter 2 left with unfillable slot(s), backfill has no eligible unsold player"
